rfp_id,full_spec,level1_spec,level2_spec,level3_spec
RFP_0020,500V 8C 2.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,2.5 sqmm Cu XLPE armoured cable,2.5 sqmm Cu cable,Cu cable
RFP_0021,440V 2C 1 sqmm Cu PVC armoured cable as per IS 694,440V 1 sqmm PVC armoured cable,1 sqmm PVC cable,PVC cable
RFP_0022,FRLS 440V 4C 2.5 sqmm Cu PVC armoured cable as per IEC 60245,FRLS 4C Cu cable as per IEC 60245,Cu cable as per IEC 60245,cable as per IEC 60245
RFP_0023,LSZH 440V 16C 1.5 sqmm Cu XLPE armoured cable as per IS 694,LSZH 440V XLPE cable as per IS 694,440V cable as per IS 694,cable as per IS 694
RFP_0024,ZH 220kV 1C 240 sqmm Al XLPE armoured cable as per IEC 62067,1C XLPE armoured cable as per IEC 62067,1C armoured cable,armoured cable
RFP_0025,FRLS 1.1kV 14C 2.5 sqmm Cu XLPE armoured cable as per BS 5308,14C 2.5 sqmm Cu cable as per BS 5308,14C 2.5 sqmm cable,2.5 sqmm cable
RFP_0026,FR 1.1kV 5C 4 sqmm Cu XLPE armoured cable as per IEC 60502-1,FR 1.1kV 4 sqmm Cu cable,1.1kV 4 sqmm cable,4 sqmm cable
RFP_0027,FRLS 400kV 1C 500 sqmm Al XLPE armoured cable as per IEC 62067,FRLS XLPE armoured cable as per IEC 62067,FRLS cable as per IEC 62067,cable as per IEC 62067
RFP_0028,FR 440V 3C 1 sqmm Cu XLPE armoured cable as per IS 1554,440V 1 sqmm armoured cable as per IS 1554,440V cable as per IS 1554,440V cable
RFP_0029,LSZH 500V 7C 2.5 sqmm Cu PVC armoured cable as per IS 1554,LSZH 7C 2.5 sqmm Cu cable,7C 2.5 sqmm cable,2.5 sqmm cable
RFP_0030,LSZH 500V 2C 1.5 sqmm Cu PVC armoured cable as per IS 694,LSZH 500V PVC armoured cable,LSZH PVC cable,LSZH cable
RFP_0031,FRLS 440V 4C 1 sqmm Cu XLPE armoured cable as per IS 694,1 sqmm XLPE armoured cable as per IS 694,1 sqmm armoured cable,1 sqmm cable
RFP_0032,220kV 1C 400 sqmm Cu XLPE armoured cable as per IEC 62067,220kV 1C Cu XLPE cable,220kV 1C cable,1C cable
RFP_0033,LSZH 500V 8C 0.5 sqmm Cu PVC armoured cable as per IEC 60502-1,500V 8C 0.5 sqmm armoured cable,8C 0.5 sqmm cable,0.5 sqmm cable
RFP_0034,220kV 1C 800 sqmm Cu XLPE armoured cable as per IEC 62067,Cu XLPE armoured cable as per IEC 62067,Cu XLPE cable,Cu cable
RFP_0035,LSZH 110kV 1C 500 sqmm Cu XLPE armoured cable as per IEC 60840,LSZH 500 sqmm Cu armoured cable,LSZH Cu cable,LSZH cable
RFP_0036,LSZH 500V 20C 1.5 sqmm Cu XLPE armoured cable as per BS 5308-1,LSZH 20C 1.5 sqmm XLPE cable,20C XLPE cable,XLPE cable
RFP_0037,LSZH 440V 16C 1.5 sqmm Cu PVC armoured cable as per IS 694,LSZH 440V 16C Cu cable,440V Cu cable,Cu cable
RFP_0038,ZH 440V 4C 2.5 sqmm Cu PVC armoured cable as per IS 694,4C Cu PVC cable as per IS 694,4C Cu cable,4C cable
RFP_0039,ZH 110kV 1C 400 sqmm Al XLPE armoured cable as per IEC 60840,Al XLPE armoured cable as per IEC 60840,Al XLPE cable,XLPE cable
RFP_0040,ZH 440V 5C 16 sqmm Cu XLPE armoured cable as per IS 694,ZH 5C XLPE cable as per IS 694,5C cable as per IS 694,cable as per IS 694
RFP_0041,LSZH 1.1kV 24C 2.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,24C Cu XLPE armoured cable,24C armoured cable,24C cable
RFP_0042,LSZH 3.3kV 1C 95 sqmm Cu EPR armoured cable as per IEC 60502-1,3.3kV Cu armoured cable as per IEC 60502-1,armoured cable as per IEC 60502-1,cable as per IEC 60502-1
RFP_0043,440V 5C 1 sqmm Cu XLPE armoured cable as per IS 694,440V 5C Cu armoured cable,5C armoured cable,armoured cable
RFP_0044,FR 500V 12C 4 sqmm Cu XLPE armoured cable as per IEC 60502-1,FR 500V Cu XLPE cable,FR Cu cable,Cu cable
RFP_0045,ZH 6.6kV 1C 95 sqmm Al EPR armoured cable as per IS 7098-1,6.6kV 1C EPR cable as per IS 7098-1,6.6kV EPR cable,6.6kV cable
RFP_0046,FR 500V 8C 2.5 sqmm Cu PVC armoured cable as per IS 1554,FR 8C 2.5 sqmm PVC cable,FR 8C cable,8C cable
RFP_0047,FRLS 500V 2C 120 sqmm Cu PVC armoured cable as per IS 694,2C 120 sqmm armoured cable as per IS 694,120 sqmm armoured cable,armoured cable
RFP_0048,FR 600V 3C 240 sqmm Cu PVC armoured cable as per IS 694,3C 240 sqmm PVC armoured cable,240 sqmm armoured cable,240 sqmm cable
RFP_0049,ZH 440V 2C 150 sqmm Al PVC armoured cable as per IEC 60502-1,ZH 440V Al cable as per IEC 60502-1,ZH Al cable,Al cable
RFP_0050,FRLS 1.1kV 12C 2.5 sqmm Cu XLPE armoured cable as per IS 1554,FRLS 2.5 sqmm XLPE cable as per IS 1554,2.5 sqmm XLPE cable,2.5 sqmm cable
RFP_0051,LSZH 500V 4C 4 sqmm Cu XLPE armoured cable as per IS 1554,LSZH XLPE armoured cable as per IS 1554,XLPE armoured cable,armoured cable
RFP_0052,ZH 440V 4C 2.5 sqmm Cu XLPE armoured cable as per IS 9968,ZH 4C XLPE cable as per IS 9968,XLPE cable as per IS 9968,cable as per IS 9968
RFP_0053,LSZH 500V 30C 2.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,LSZH 500V 30C cable as per IEC 60502-1,500V 30C cable,30C cable
RFP_0054,LSZH 132kV 1C 1000 sqmm Cu XLPE armoured cable as per IEC 60840,132kV 1C 1000 sqmm Cu cable,1C Cu cable,1C cable
RFP_0055,LSZH 1.1kV 7C 6 sqmm Cu XLPE armoured cable as per BS 5308,LSZH 7C Cu cable as per BS 5308,LSZH 7C cable,LSZH cable
RFP_0056,FR 500V 2C 500 sqmm Cu XLPE armoured cable as per IS 1554,500V 2C Cu cable as per IS 1554,Cu cable as per IS 1554,Cu cable
RFP_0057,FRLS 6.6kV 1C 400 sqmm Cu XLPE armoured cable as per IEC 60502-1,FRLS 6.6kV 1C XLPE cable,FRLS XLPE cable,FRLS cable
RFP_0058,LSZH 500V 4C 2.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,2.5 sqmm Cu XLPE armoured cable,Cu armoured cable,armoured cable
RFP_0059,LSZH 440V 24C 1.5 sqmm Cu PVC armoured cable as per IS 1554,24C 1.5 sqmm Cu armoured cable,24C Cu cable,24C cable
RFP_0060,300V 16C 1.5 sqmm Cu XLPE armoured cable as per BS 5308-1,16C 1.5 sqmm XLPE cable as per BS 5308-1,1.5 sqmm XLPE cable,XLPE cable
RFP_0061,FR 220kV 1C 240 sqmm Al XLPE armoured cable as per IEC 62067,FR 1C XLPE cable as per IEC 62067,FR 1C cable,1C cable
RFP_0062,LSZH 440V 5C 1 sqmm Cu XLPE armoured cable as per IS 694,LSZH 1 sqmm armoured cable as per IS 694,LSZH cable as per IS 694,cable as per IS 694
RFP_0063,FR 1.1kV 5C 6 sqmm Cu XLPE armoured cable as per IS 1554,FR 1.1kV 6 sqmm armoured cable,1.1kV armoured cable,1.1kV cable
RFP_0064,300V 16C 0.5 sqmm Cu PVC armoured cable as per BS 5308-1,300V 16C PVC cable as per BS 5308-1,16C PVC cable,PVC cable
RFP_0065,FR 3.3kV 3C 50 sqmm Cu XLPE armoured cable as per IS 7098-1,FR 3.3kV XLPE cable as per IS 7098-1,3.3kV cable as per IS 7098-1,cable as per IS 7098-1
RFP_0066,Fire Survival 440V 3C 16 sqmm Cu XLPE armoured cable as per BS 6387,Cu XLPE armoured cable as per BS 6387,Cu XLPE cable,Cu cable
RFP_0067,Fire Survival 1.1kV 3C 16 sqmm Cu XLPE armoured cable as per IEC 60331,Fire Survival 1.1kV 3C Cu cable,Fire Survival 3C cable,3C cable
RFP_0068,6.6kV 3C 120 sqmm Cu EPR armoured cable as per IEC 60502-1,3C 120 sqmm Cu EPR cable,3C 120 sqmm cable,3C cable
RFP_0069,FR 440V 3.5C 6 sqmm Cu PVC armoured cable as per IS 694,3. 6 sqmm PVC armoured cable as per IS 694,3. armoured cable as per IS 694,3. armoured cable
RFP_0070,Fire Survival 1.1kV 4C 4 sqmm Cu XLPE armoured cable as per IS 17048,4C 4 sqmm Cu cable as per IS 17048,4C Cu cable,Cu cable
RFP_0071,FR 220kV 1C 500 sqmm Al XLPE armoured cable as per IEC 62067,FR XLPE armoured cable as per IEC 62067,armoured cable as per IEC 62067,cable as per IEC 62067
RFP_0072,FRLS 1.1kV 4C 2.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,FRLS 1.1kV 4C armoured cable,FRLS 1.1kV cable,1.1kV cable
RFP_0073,FRLS 66kV 1C 240 sqmm Al XLPE armoured cable as per IEC 60840,66kV 1C Al XLPE cable,Al XLPE cable,Al cable
RFP_0074,LSZH 132kV 1C 800 sqmm Al XLPE armoured cable as per IEC 60840,132kV 800 sqmm XLPE cable as per IEC 60840,800 sqmm XLPE cable,XLPE cable
RFP_0075,500V 2C 1.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,2C XLPE armoured cable as per IEC 60502-1,armoured cable as per IEC 60502-1,cable as per IEC 60502-1
RFP_0076,FR 6.6kV 3C 400 sqmm Cu EPR armoured cable as per IS 7098-1,FR 400 sqmm Cu armoured cable,400 sqmm Cu cable,Cu cable
RFP_0077,LSZH 1.1kV 6C 0.75 sqmm Cu PVC armoured cable as per BS 5308-1,1.1kV 6C armoured cable as per BS 5308-1,6C cable as per BS 5308-1,6C cable
RFP_0078,1.1kV 6C 6 sqmm Cu XLPE armoured cable as per IEC 60502-1,6C 6 sqmm Cu XLPE cable,6C 6 sqmm cable,6C cable
RFP_0079,ZH 440V 3C 35 sqmm Cu PVC armoured cable as per IS 9968,ZH 35 sqmm Cu PVC cable,35 sqmm Cu cable,Cu cable
RFP_0080,LSZH 440V 24C 2.5 sqmm Cu PVC armoured cable as per IS 694,2.5 sqmm Cu PVC cable as per IS 694,2.5 sqmm cable as per IS 694,2.5 sqmm cable
RFP_0081,FRLS 300V 8C 0.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,300V 8C Cu XLPE cable,Cu XLPE cable,Cu cable
RFP_0082,FR 1.1kV 10C 2.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,1.1kV 10C Cu cable as per IEC 60502-1,1.1kV 10C cable,1.1kV cable
RFP_0083,LSZH 1.1kV 3C 500 sqmm Al EPR armoured cable as per BS 5467,1.1kV 500 sqmm EPR cable as per BS 5467,EPR cable as per BS 5467,EPR cable
RFP_0084,300V 2C 1 sqmm Cu PVC armoured cable as per BS 5308-1,2C 1 sqmm PVC cable as per BS 5308-1,1 sqmm cable as per BS 5308-1,1 sqmm cable
RFP_0085,FRLS 1.1kV 2C 1 sqmm Cu PVC armoured cable as per IEC 60502-1,1.1kV Cu PVC armoured cable,1.1kV PVC cable,1.1kV cable
RFP_0086,LSZH 440V 5C 6 sqmm Cu XLPE armoured cable as per IS 9968,LSZH 440V XLPE armoured cable,440V XLPE cable,440V cable
RFP_0087,LSZH 1.1kV 10C 0.75 sqmm Cu PVC armoured cable as per IS 1554,10C Cu PVC cable as per IS 1554,Cu cable as per IS 1554,Cu cable
RFP_0088,Fire Survival 440V 1C 95 sqmm Cu Mineral (MI) armoured cable as per IEC 60331,Fire Survival 440V 1C Mineral (MI) cable as per IEC 60331,Fire Survival Mineral (MI) cable as per IEC 60331,Fire Survival Mineral (MI) cable
RFP_0089,FR 1.1kV 3C 2.5 sqmm Cu XLPE armoured cable as per IS 9968,FR 3C Cu armoured cable,3C armoured cable,armoured cable
RFP_0090,ZH 400kV 1C 630 sqmm Cu XLPE armoured cable as per IEC 62067,ZH 400kV 1C XLPE cable,ZH 1C cable,ZH cable
RFP_0091,132kV 1C 1000 sqmm Cu XLPE armoured cable as per IEC 60840,132kV 1000 sqmm Cu cable as per IEC 60840,1000 sqmm Cu cable,Cu cable
RFP_0092,500V 27C 4 sqmm Cu PVC armoured cable as per IS 1554,27C Cu armoured cable as per IS 1554,27C Cu cable,Cu cable
RFP_0093,FRLS 440V 2C 35 sqmm Cu PVC armoured cable as per IS 9968,35 sqmm PVC armoured cable as per IS 9968,PVC cable as per IS 9968,cable as per IS 9968
RFP_0094,Fire Survival 440V 1C 2.5 sqmm Cu XLPE armoured cable as per BS 6387,Fire Survival XLPE armoured cable as per BS 6387,Fire Survival cable as per BS 6387,Fire Survival cable
RFP_0095,LSZH 440V 7C 4 sqmm Cu PVC armoured cable as per IS 694,440V Cu PVC armoured cable,PVC armoured cable,armoured cable
RFP_0096,ZH 440V 2C 6 sqmm Cu XLPE armoured cable as per IS 694,2C 6 sqmm Cu cable as per IS 694,6 sqmm cable as per IS 694,6 sqmm cable
RFP_0097,Fire Survival 440V 3C 70 sqmm Cu Mineral (MI) armoured cable as per BS 6387,3C 70 sqmm Cu Mineral (MI) armoured cable,70 sqmm Cu Mineral (MI) cable,70 sqmm Mineral (MI) cable
RFP_0098,FR 500V 5C 4 sqmm Cu PVC armoured cable as per IS 694,FR 500V PVC armoured cable,FR 500V cable,500V cable
RFP_0099,500V 3C 4 sqmm Cu PVC armoured cable as per IS 694,500V 3C armoured cable as per IS 694,500V cable as per IS 694,cable as per IS 694
RFP_0100,FR 500V 3C 1 sqmm Cu PVC armoured cable as per IS 1554,500V 1 sqmm Cu PVC cable,500V PVC cable,500V cable
RFP_0101,FRLS 300V 4C 0.75 sqmm Cu XLPE armoured cable as per IEC 60502-1,4C 0.75 sqmm Cu cable as per IEC 60502-1,0.75 sqmm cable as per IEC 60502-1,cable as per IEC 60502-1
RFP_0102,ZH 33kV 3C 70 sqmm Al XLPE armoured cable as per IEC 60502-2,ZH 33kV 3C armoured cable,3C armoured cable,3C cable
RFP_0103,FRLS 1.1kV 3C 50 sqmm Cu PVC armoured cable as per IS 1554,1.1kV Cu armoured cable as per IS 1554,1.1kV cable as per IS 1554,cable as per IS 1554
RFP_0104,FRLS 300V 1C 1.5 sqmm Cu PVC armoured cable as per IEC 60502-1,300V Cu PVC armoured cable,PVC armoured cable,armoured cable
RFP_0105,LSZH 500V 8C 1 sqmm Cu XLPE armoured cable as per IEC 60502-1,8C 1 sqmm XLPE cable as per IEC 60502-1,8C 1 sqmm cable,8C cable
RFP_0106,FR 66kV 1C 500 sqmm Al XLPE armoured cable as per IEC 60840,1C Al XLPE armoured cable,1C Al cable,1C cable
RFP_0107,FR 33kV 1C 95 sqmm Al XLPE armoured cable as per IEC 60502-2,FR 33kV armoured cable as per IEC 60502-2,FR armoured cable,armoured cable
RFP_0108,FR 220kV 1C 630 sqmm Al XLPE armoured cable as per IEC 62067,220kV 1C 630 sqmm Al cable,220kV 630 sqmm cable,630 sqmm cable
RFP_0109,500V 2C 2.5 sqmm Cu XLPE armoured cable as per BS 5308-1,2C 2.5 sqmm Cu cable as per BS 5308-1,2C cable as per BS 5308-1,cable as per BS 5308-1
RFP_0110,LSZH 440V 5C 35 sqmm Cu PVC armoured cable as per IEC 60245,LSZH 35 sqmm armoured cable as per IEC 60245,armoured cable as per IEC 60245,armoured cable
RFP_0111,LSZH 500V 16C 0.5 sqmm Cu PVC armoured cable as per IEC 60502-1,LSZH 0.5 sqmm Cu armoured cable,LSZH armoured cable,armoured cable
RFP_0112,1.1kV 4C 400 sqmm Al EPR armoured cable as per IEC 60502-1,1.1kV 4C Al armoured cable,1.1kV Al cable,Al cable
RFP_0113,440V 3C 2.5 sqmm Cu XLPE armoured cable as per IS 1554,2.5 sqmm Cu armoured cable as per IS 1554,2.5 sqmm Cu cable,2.5 sqmm cable
RFP_0114,FRLS 1.1kV 4C 4 sqmm Cu XLPE armoured cable as per IEC 60502-1,FRLS Cu XLPE cable as per IEC 60502-1,FRLS XLPE cable,XLPE cable
RFP_0115,LSZH 500V 4C 2.5 sqmm Cu PVC armoured cable as per IEC 60502-1,LSZH 2.5 sqmm Cu cable as per IEC 60502-1,Cu cable as per IEC 60502-1,cable as per IEC 60502-1
RFP_0116,FR 400kV 1C 300 sqmm Al XLPE armoured cable as per IEC 62067,400kV 300 sqmm armoured cable as per IEC 62067,300 sqmm cable as per IEC 62067,cable as per IEC 62067
RFP_0117,500V 14C 4 sqmm Cu XLPE armoured cable as per IS 1554,500V 4 sqmm XLPE armoured cable,4 sqmm armoured cable,armoured cable
RFP_0118,440V 24C 2.5 sqmm Cu XLPE armoured cable as per IS 694,2.5 sqmm Cu armoured cable as per IS 694,2.5 sqmm Cu cable,Cu cable
RFP_0119,22kV 1C 150 sqmm Cu XLPE armoured cable as per IS 7098-2,22kV 1C Cu XLPE cable,22kV XLPE cable,22kV cable
RFP_0120,ZH 500V 4C 0.75 sqmm Cu PVC armoured cable as per IEC 60245,ZH 0.75 sqmm Cu PVC cable,Cu PVC cable,Cu cable
RFP_0121,LSZH 6.6kV 1C 95 sqmm Cu XLPE armoured cable as per IEC 60502-1,LSZH 6.6kV 95 sqmm armoured cable,LSZH 6.6kV cable,6.6kV cable
RFP_0122,FRLS 500V 4C 10 sqmm Cu XLPE armoured cable as per IS 1554,10 sqmm Cu XLPE cable as per IS 1554,XLPE cable as per IS 1554,cable as per IS 1554
RFP_0123,ZH 110kV 1C 1000 sqmm Cu XLPE armoured cable as per IEC 60840,ZH 1C 1000 sqmm armoured cable,ZH 1000 sqmm cable,1000 sqmm cable
RFP_0124,FRLS 1.1kV 20C 0.5 sqmm Cu PVC armoured cable as per IEC 60502-1,FRLS 1.1kV Cu cable as per IEC 60502-1,1.1kV cable as per IEC 60502-1,1.1kV cable
RFP_0125,FR 11kV 1C 185 sqmm Cu EPR armoured cable as per IEC 60502-1,FR 1C Cu EPR cable,FR 1C cable,1C cable
RFP_0126,1.1kV 10C 2.5 sqmm Cu XLPE armoured cable as per IS 1554,1.1kV 10C 2.5 sqmm Cu cable,1.1kV 2.5 sqmm cable,2.5 sqmm cable
RFP_0127,ZH 1.1kV 3C 95 sqmm Cu XLPE armoured cable as per IS 1554,3C 95 sqmm Cu XLPE cable,95 sqmm XLPE cable,95 sqmm cable
RFP_0128,LSZH 440V 3C 1 sqmm Cu XLPE armoured cable as per IS 9968,1 sqmm XLPE armoured cable as per IS 9968,XLPE cable as per IS 9968,XLPE cable
RFP_0129,FR 440V 3C 4 sqmm Cu XLPE armoured cable as per IS 1554,FR 3C XLPE armoured cable,FR armoured cable,FR cable
RFP_0130,500V 16C 0.75 sqmm Cu PVC armoured cable as per BS 5308-1,Cu PVC armoured cable as per BS 5308-1,PVC cable as per BS 5308-1,cable as per BS 5308-1
RFP_0131,Fire Survival 1.1kV 4C 95 sqmm Cu Mineral (MI) armoured cable as per IS 17048,4C 95 sqmm Mineral (MI) armoured cable as per IS 17048,4C 95 sqmm Mineral (MI) cable,4C Mineral (MI) cable
RFP_0132,LSZH 500V 6C 0.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,LSZH Cu XLPE cable as per IEC 60502-1,LSZH Cu cable,LSZH cable
RFP_0133,LSZH 500V 24C 0.5 sqmm Cu PVC armoured cable as per BS 5308-1,500V Cu armoured cable as per BS 5308-1,500V Cu cable,500V cable
RFP_0134,FR 500V 8C 1 sqmm Cu PVC armoured cable as per IEC 60502-1,500V 1 sqmm PVC cable as per IEC 60502-1,1 sqmm cable as per IEC 60502-1,cable as per IEC 60502-1
RFP_0135,500V 3C 1 sqmm Cu PVC armoured cable as per IEC 60245,500V 1 sqmm armoured cable as per IEC 60245,500V cable as per IEC 60245,500V cable
RFP_0136,FRLS 1.1kV 24C 1.5 sqmm Cu PVC armoured cable as per IS 1554,Cu PVC armoured cable as per IS 1554,Cu cable as per IS 1554,Cu cable
RFP_0137,LSZH 440V 5C 16 sqmm Cu XLPE armoured cable as per IS 9968,16 sqmm Cu XLPE cable as per IS 9968,16 sqmm XLPE cable,16 sqmm cable
RFP_0138,FR 500V 20C 0.75 sqmm Cu PVC armoured cable as per BS 5308-1,FR 500V Cu armoured cable,500V Cu cable,Cu cable
RFP_0139,FRLS 600V 4C 120 sqmm Cu XLPE armoured cable as per IEC 60502-1,FRLS 600V 4C armoured cable,600V 4C cable,4C cable
RFP_0140,FR 300V 24C 2.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,FR 300V 24C 2.5 sqmm cable,300V 2.5 sqmm cable,2.5 sqmm cable
RFP_0141,ZH 110kV 1C 185 sqmm Al XLPE armoured cable as per IEC 60840,ZH 1C 185 sqmm cable as per IEC 60840,1C cable as per IEC 60840,cable as per IEC 60840
RFP_0142,440V 8C 4 sqmm Cu PVC armoured cable as per IS 1554,440V 8C armoured cable as per IS 1554,440V cable as per IS 1554,440V cable
RFP_0143,400kV 1C 630 sqmm Cu XLPE armoured cable as per IEC 62067,400kV 1C 630 sqmm cable as per IEC 62067,400kV 1C cable,1C cable
RFP_0144,FR 3.3kV 3C 95 sqmm Cu EPR armoured cable as per IEC 60502-1,3C 95 sqmm armoured cable as per IEC 60502-1,95 sqmm cable as per IEC 60502-1,95 sqmm cable
RFP_0145,11kV 1C 185 sqmm Cu EPR armoured cable as per IS 7098-1,1C Cu EPR armoured cable,1C armoured cable,1C cable
RFP_0146,FRLS 500V 2C 2.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,FRLS Cu XLPE armoured cable,FRLS armoured cable,FRLS cable
RFP_0147,33kV 1C 95 sqmm Cu XLPE armoured cable as per IEC 60502-2,1C 95 sqmm armoured cable as per IEC 60502-2,armoured cable as per IEC 60502-2,cable as per IEC 60502-2
RFP_0148,FR 440V 4C 300 sqmm Al XLPE armoured cable as per IEC 60502-1,FR 4C armoured cable as per IEC 60502-1,armoured cable as per IEC 60502-1,cable as per IEC 60502-1
RFP_0149,440V 27C 6 sqmm Cu XLPE armoured cable as per IS 694,440V 27C 6 sqmm XLPE cable,440V 6 sqmm cable,440V cable
RFP_0150,FR 500V 16C 2.5 sqmm Cu PVC armoured cable as per IEC 60502-1,FR 16C Cu armoured cable,16C armoured cable,16C cable
RFP_0151,FR 110kV 1C 185 sqmm Cu XLPE armoured cable as per IEC 60840,FR 110kV 1C armoured cable,FR armoured cable,FR cable
RFP_0152,LSZH 33kV 1C 400 sqmm Cu XLPE armoured cable as per IS 7098-2,1C 400 sqmm armoured cable as per IS 7098-2,armoured cable as per IS 7098-2,cable as per IS 7098-2
RFP_0153,LSZH 440V 5C 1.5 sqmm Cu XLPE armoured cable as per IS 694,5C 1.5 sqmm XLPE cable as per IS 694,1.5 sqmm XLPE cable,1.5 sqmm cable
RFP_0154,440V 14C 1 sqmm Cu XLPE armoured cable as per IS 694,440V 1 sqmm Cu XLPE cable,Cu XLPE cable,XLPE cable
RFP_0155,Fire Survival 1.1kV 3C 95 sqmm Cu XLPE armoured cable as per BS 6387,1.1kV 95 sqmm Cu armoured cable,1.1kV armoured cable,1.1kV cable
RFP_0156,FRLS 1.1kV 6C 2.5 sqmm Cu XLPE armoured cable as per BS 5308-1,1.1kV 2.5 sqmm armoured cable as per BS 5308-1,1.1kV 2.5 sqmm cable,1.1kV cable
RFP_0157,FR 440V 2C 1.5 sqmm Cu XLPE armoured cable as per IS 1554,FR 440V Cu XLPE cable,440V XLPE cable,440V cable
RFP_0158,FR 1.1kV 4C 0.5 sqmm Cu XLPE armoured cable as per BS 5308-1,FR 4C Cu cable as per BS 5308-1,FR cable as per BS 5308-1,FR cable
RFP_0159,FR 66kV 1C 1000 sqmm Al XLPE armoured cable as per IS 7098-3,FR 66kV 1000 sqmm cable as per IS 7098-3,66kV 1000 sqmm cable,66kV cable
RFP_0160,FR 300V 10C 0.5 sqmm Cu PVC armoured cable as per IEC 60502-1,FR 10C 0.5 sqmm Cu cable,FR 0.5 sqmm cable,0.5 sqmm cable
RFP_0161,LSZH 1.1kV 6C 1 sqmm Cu XLPE armoured cable as per IS 1554,LSZH Cu armoured cable as per IS 1554,LSZH armoured cable,armoured cable
RFP_0162,FRLS 132kV 1C 400 sqmm Al XLPE armoured cable as per IEC 60840,132kV 400 sqmm Al XLPE cable,132kV 400 sqmm cable,400 sqmm cable
RFP_0163,LSZH 3.3kV 3C 95 sqmm Cu EPR armoured cable as per IS 7098-1,3.3kV EPR armoured cable as per IS 7098-1,armoured cable as per IS 7098-1,armoured cable
