rfp_id,item_id,item_name,item_category,voltage_rating,conductor_material,core_count,size_sqmm,insulation_type,sheath_type,temperature_rating,fire_resistance,armouring,standards_required,mandatory_specs,tolerance_allowed,spec_text_raw
RFP_0011,ITEM_0011,FR 300V XLPE Copper 24C 2.5sqmm Armoured Instrumentation Cable,Instrumentation Cable,300V,Copper,24.0,2.5,XLPE,LSZH,90C,FR,No,BS 5308-1,armouring;standards_required,True,FR 300V 24C 2.5 sqmm Cu XLPE armoured cable as per BS 5308-1
RFP_0012,ITEM_0012,FR 500V PVC Copper 30C 2.5sqmm Armoured Control Cable,Control Cable,500V,Copper,30.0,2.5,PVC,PVC,70C,FR,No,IS 1554,conductor_material;standards_required,True,FR 500V 30C 2.5 sqmm Cu PVC armoured cable as per IS 1554
RFP_0013,ITEM_0013,LSZH 1.1kV XLPE Copper 20C 1.5sqmm Armoured Instrumentation Cable,Instrumentation Cable,1.1kV,Copper,20.0,1.5,XLPE,HDPE,90C,LSZH,No,IEC 60502-1,armouring;core_count;sheath_type;standards_required,False,LSZH 1.1kV 20C 1.5 sqmm Cu XLPE armoured cable as per IEC 60502-1
RFP_0014,ITEM_0014,FR 440V XLPE Copper 10C 6sqmm Armoured Control Cable,Control Cable,440V,Copper,10.0,6.0,XLPE,PVC,90C,FR,Yes,IS 694,sheath_type,True,FR 440V 10C 6 sqmm Cu XLPE armoured cable as per IS 694
RFP_0015,ITEM_0015,FRLS 1.1kV PVC Copper 19C 1sqmm Armoured Control Cable,Control Cable,1.1kV,Copper,19.0,1.0,PVC,PVC,70C,FRLS,No,IS 1554,voltage_rating,False,FRLS 1.1kV 19C 1 sqmm Cu PVC armoured cable as per IS 1554
RFP_0016,ITEM_0016,ZH 1.1kV PVC Aluminium 4C 25sqmm Armoured Power Cable,Power Cable,1.1kV,Aluminium,4.0,25.0,PVC,LSZH,70C,ZH,Yes,BS 5467,conductor_material;core_count;fire_resistance;temperature_rating,True,ZH 1.1kV 4C 25 sqmm Al PVC armoured cable as per BS 5467
RFP_0017,ITEM_0017,FRLS 11kV EPR Aluminium 1C 300sqmm Armoured Power Cable,Power Cable,11kV,Aluminium,1.0,300.0,EPR,HDPE,90C,FRLS,Yes,IEC 60502-1,armouring;conductor_material;core_count,True,FRLS 11kV 1C 300 sqmm Al EPR armoured cable as per IEC 60502-1
RFP_0018,ITEM_0018,FRLS 1.1kV XLPE Copper 10C 2.5sqmm Armoured Control Cable,Control Cable,1.1kV,Copper,10.0,2.5,XLPE,LSZH,90C,FRLS,Yes,IS 1554,voltage_rating,False,FRLS 1.1kV 10C 2.5 sqmm Cu XLPE armoured cable as per IS 1554
RFP_0019,ITEM_0019,Fire Survival 1.1kV Mineral (MI) Copper 4C 4sqmm Armoured Fire Survival Cable,Fire Survival Cable,1.1kV,Copper,4.0,4.0,Mineral (MI),HDPE,105C,Fire Survival,No,IEC 60331,temperature_rating;voltage_rating,True,Fire Survival 1.1kV 4C 4 sqmm Cu Mineral (MI) armoured cable as per IEC 60331
RFP_0020,ITEM_0020,500V XLPE Copper 8C 2.5sqmm Armoured Control Cable,Control Cable,500V,Copper,8.0,2.5,XLPE,PVC,90C,Non-FR,No,IEC 60502-1,core_count;insulation_type,True,500V 8C 2.5 sqmm Cu XLPE armoured cable as per IEC 60502-1
RFP_0021,ITEM_0021,440V PVC Copper 2C 1sqmm Armoured Control Cable,Control Cable,440V,Copper,2.0,1.0,PVC,HDPE,70C,Non-FR,No,IS 694,armouring;voltage_rating,True,440V 2C 1 sqmm Cu PVC armoured cable as per IS 694
RFP_0022,ITEM_0022,FRLS 440V PVC Copper 4C 2.5sqmm Armoured Flexible Cable,Flexible Cable,440V,Copper,4.0,2.5,PVC,PVC,70C,FRLS,No,IEC 60245,standards_required,True,FRLS 440V 4C 2.5 sqmm Cu PVC armoured cable as per IEC 60245
RFP_0023,ITEM_0023,LSZH 440V XLPE Copper 16C 1.5sqmm Armoured Control Cable,Control Cable,440V,Copper,16.0,1.5,XLPE,PVC,90C,LSZH,No,IS 694,insulation_type;size_sqmm;temperature_rating,False,LSZH 440V 16C 1.5 sqmm Cu XLPE armoured cable as per IS 694
RFP_0024,ITEM_0024,ZH 220kV XLPE Aluminium 1C 240sqmm Armoured Power Cable,Power Cable,220kV,Aluminium,1.0,240.0,XLPE,HDPE,90C,ZH,Yes,IEC 62067,conductor_material;sheath_type;size_sqmm,True,ZH 220kV 1C 240 sqmm Al XLPE armoured cable as per IEC 62067
RFP_0025,ITEM_0025,FRLS 1.1kV XLPE Copper 14C 2.5sqmm Armoured Control Cable,Control Cable,1.1kV,Copper,14.0,2.5,XLPE,HDPE,90C,FRLS,No,BS 5308,conductor_material;insulation_type;size_sqmm,True,FRLS 1.1kV 14C 2.5 sqmm Cu XLPE armoured cable as per BS 5308
RFP_0026,ITEM_0026,FR 1.1kV XLPE Copper 5C 4sqmm Armoured Flexible Cable,Flexible Cable,1.1kV,Copper,5.0,4.0,XLPE,LSZH,90C,FR,No,IEC 60502-1,armouring;insulation_type,False,FR 1.1kV 5C 4 sqmm Cu XLPE armoured cable as per IEC 60502-1
RFP_0027,ITEM_0027,FRLS 400kV XLPE Aluminium 1C 500sqmm Armoured Power Cable,Power Cable,400kV,Aluminium,1.0,500.0,XLPE,LSZH,90C,FRLS,Yes,IEC 62067,insulation_type;size_sqmm,False,FRLS 400kV 1C 500 sqmm Al XLPE armoured cable as per IEC 62067
RFP_0028,ITEM_0028,FR 440V XLPE Copper 3C 1sqmm Armoured Control Cable,Control Cable,440V,Copper,3.0,1.0,XLPE,HDPE,90C,FR,No,IS 1554,sheath_type,False,FR 440V 3C 1 sqmm Cu XLPE armoured cable as per IS 1554
RFP_0029,ITEM_0029,LSZH 500V PVC Copper 7C 2.5sqmm Armoured Control Cable,Control Cable,500V,Copper,7.0,2.5,PVC,PVC,70C,LSZH,Yes,IS 1554,conductor_material;sheath_type,False,LSZH 500V 7C 2.5 sqmm Cu PVC armoured cable as per IS 1554
RFP_0030,ITEM_0030,LSZH 500V PVC Copper 2C 1.5sqmm Armoured Flexible Cable,Flexible Cable,500V,Copper,2.0,1.5,PVC,PVC,70C,LSZH,No,IS 694,sheath_type;temperature_rating,False,LSZH 500V 2C 1.5 sqmm Cu PVC armoured cable as per IS 694
RFP_0031,ITEM_0031,FRLS 440V XLPE Copper 4C 1sqmm Armoured Flexible Cable,Flexible Cable,440V,Copper,4.0,1.0,XLPE,LSZH,90C,FRLS,No,IS 694,core_count;fire_resistance,False,FRLS 440V 4C 1 sqmm Cu XLPE armoured cable as per IS 694
RFP_0032,ITEM_0032,220kV XLPE Copper 1C 400sqmm Armoured Power Cable,Power Cable,220kV,Copper,1.0,400.0,XLPE,LSZH,90C,Non-FR,No,IEC 62067,insulation_type,False,220kV 1C 400 sqmm Cu XLPE armoured cable as per IEC 62067
RFP_0033,ITEM_0033,LSZH 500V PVC Copper 8C 0.5sqmm Armoured Instrumentation Cable,Instrumentation Cable,500V,Copper,8.0,0.5,PVC,PVC,70C,LSZH,No,IEC 60502-1,standards_required,False,LSZH 500V 8C 0.5 sqmm Cu PVC armoured cable as per IEC 60502-1
RFP_0034,ITEM_0034,220kV XLPE Copper 1C 800sqmm Armoured Power Cable,Power Cable,220kV,Copper,1.0,800.0,XLPE,HDPE,90C,Non-FR,Yes,IEC 62067,armouring;core_count;size_sqmm;voltage_rating,False,220kV 1C 800 sqmm Cu XLPE armoured cable as per IEC 62067
RFP_0035,ITEM_0035,LSZH 110kV XLPE Copper 1C 500sqmm Armoured Power Cable,Power Cable,110kV,Copper,1.0,500.0,XLPE,LSZH,90C,LSZH,Yes,IEC 60840,armouring;conductor_material;insulation_type;size_sqmm,False,LSZH 110kV 1C 500 sqmm Cu XLPE armoured cable as per IEC 60840
RFP_0036,ITEM_0036,LSZH 500V XLPE Copper 20C 1.5sqmm Armoured Instrumentation Cable,Instrumentation Cable,500V,Copper,20.0,1.5,XLPE,LSZH,90C,LSZH,Yes,BS 5308-1,sheath_type;temperature_rating,False,LSZH 500V 20C 1.5 sqmm Cu XLPE armoured cable as per BS 5308-1
RFP_0037,ITEM_0037,LSZH 440V PVC Copper 16C 1.5sqmm Armoured Control Cable,Control Cable,440V,Copper,16.0,1.5,PVC,HDPE,70C,LSZH,Yes,IS 694,conductor_material;core_count;insulation_type,True,LSZH 440V 16C 1.5 sqmm Cu PVC armoured cable as per IS 694
RFP_0038,ITEM_0038,ZH 440V PVC Copper 4C 2.5sqmm Armoured Flexible Cable,Flexible Cable,440V,Copper,4.0,2.5,PVC,PVC,70C,ZH,No,IS 694,armouring;core_count;standards_required;temperature_rating,False,ZH 440V 4C 2.5 sqmm Cu PVC armoured cable as per IS 694
RFP_0039,ITEM_0039,ZH 110kV XLPE Aluminium 1C 400sqmm Armoured Power Cable,Power Cable,110kV,Aluminium,1.0,400.0,XLPE,LSZH,90C,ZH,Yes,IEC 60840,armouring,True,ZH 110kV 1C 400 sqmm Al XLPE armoured cable as per IEC 60840
RFP_0040,ITEM_0040,ZH 440V XLPE Copper 5C 16sqmm Armoured Flexible Cable,Flexible Cable,440V,Copper,5.0,16.0,XLPE,LSZH,90C,ZH,No,IS 694,armouring;fire_resistance;standards_required;temperature_rating,False,ZH 440V 5C 16 sqmm Cu XLPE armoured cable as per IS 694
RFP_0041,ITEM_0041,LSZH 1.1kV XLPE Copper 24C 2.5sqmm Armoured Control Cable,Control Cable,1.1kV,Copper,24.0,2.5,XLPE,HDPE,90C,LSZH,Yes,IEC 60502-1,core_count;fire_resistance;insulation_type;voltage_rating,False,LSZH 1.1kV 24C 2.5 sqmm Cu XLPE armoured cable as per IEC 60502-1
RFP_0042,ITEM_0042,LSZH 3.3kV EPR Copper 1C 95sqmm Armoured Power Cable,Power Cable,3.3kV,Copper,1.0,95.0,EPR,LSZH,90C,LSZH,Yes,IEC 60502-1,conductor_material;core_count,False,LSZH 3.3kV 1C 95 sqmm Cu EPR armoured cable as per IEC 60502-1
RFP_0043,ITEM_0043,440V XLPE Copper 5C 1sqmm Armoured Control Cable,Control Cable,440V,Copper,5.0,1.0,XLPE,HDPE,90C,Non-FR,No,IS 694,standards_required,False,440V 5C 1 sqmm Cu XLPE armoured cable as per IS 694
RFP_0044,ITEM_0044,FR 500V XLPE Copper 12C 4sqmm Armoured Control Cable,Control Cable,500V,Copper,12.0,4.0,XLPE,LSZH,90C,FR,No,IEC 60502-1,insulation_type;temperature_rating,False,FR 500V 12C 4 sqmm Cu XLPE armoured cable as per IEC 60502-1
RFP_0045,ITEM_0045,ZH 6.6kV EPR Aluminium 1C 95sqmm Armoured Power Cable,Power Cable,6.6kV,Aluminium,1.0,95.0,EPR,LSZH,90C,ZH,No,IS 7098-1,conductor_material,False,ZH 6.6kV 1C 95 sqmm Al EPR armoured cable as per IS 7098-1
RFP_0046,ITEM_0046,FR 500V PVC Copper 8C 2.5sqmm Armoured Control Cable,Control Cable,500V,Copper,8.0,2.5,PVC,LSZH,70C,FR,No,IS 1554,insulation_type;sheath_type;temperature_rating,False,FR 500V 8C 2.5 sqmm Cu PVC armoured cable as per IS 1554
RFP_0047,ITEM_0047,FRLS 500V PVC Copper 2C 120sqmm Armoured Power Cable,Power Cable,500V,Copper,2.0,120.0,PVC,PVC,70C,FRLS,Yes,IS 694,core_count;voltage_rating,False,FRLS 500V 2C 120 sqmm Cu PVC armoured cable as per IS 694
RFP_0048,ITEM_0048,FR 600V PVC Copper 3C 240sqmm Armoured Power Cable,Power Cable,600V,Copper,3.0,240.0,PVC,LSZH,70C,FR,Yes,IS 694,size_sqmm,False,FR 600V 3C 240 sqmm Cu PVC armoured cable as per IS 694
RFP_0049,ITEM_0049,ZH 440V PVC Aluminium 2C 150sqmm Armoured Power Cable,Power Cable,440V,Aluminium,2.0,150.0,PVC,LSZH,70C,ZH,Yes,IEC 60502-1,conductor_material;insulation_type,False,ZH 440V 2C 150 sqmm Al PVC armoured cable as per IEC 60502-1
RFP_0050,ITEM_0050,FRLS 1.1kV XLPE Copper 12C 2.5sqmm Armoured Instrumentation Cable,Instrumentation Cable,1.1kV,Copper,12.0,2.5,XLPE,HDPE,90C,FRLS,Yes,IS 1554,fire_resistance;temperature_rating;voltage_rating,True,FRLS 1.1kV 12C 2.5 sqmm Cu XLPE armoured cable as per IS 1554
RFP_0051,ITEM_0051,LSZH 500V XLPE Copper 4C 4sqmm Armoured Control Cable,Control Cable,500V,Copper,4.0,4.0,XLPE,HDPE,90C,LSZH,No,IS 1554,fire_resistance;insulation_type;size_sqmm;temperature_rating,True,LSZH 500V 4C 4 sqmm Cu XLPE armoured cable as per IS 1554
RFP_0052,ITEM_0052,ZH 440V XLPE Copper 4C 2.5sqmm Armoured Flexible Cable,Flexible Cable,440V,Copper,4.0,2.5,XLPE,LSZH,90C,ZH,No,IS 9968,fire_resistance;sheath_type;voltage_rating,True,ZH 440V 4C 2.5 sqmm Cu XLPE armoured cable as per IS 9968
RFP_0053,ITEM_0053,LSZH 500V XLPE Copper 30C 2.5sqmm Armoured Control Cable,Control Cable,500V,Copper,30.0,2.5,XLPE,HDPE,90C,LSZH,No,IEC 60502-1,armouring,True,LSZH 500V 30C 2.5 sqmm Cu XLPE armoured cable as per IEC 60502-1
RFP_0054,ITEM_0054,LSZH 132kV XLPE Copper 1C 1000sqmm Armoured Power Cable,Power Cable,132kV,Copper,1.0,1000.0,XLPE,HDPE,90C,LSZH,No,IEC 60840,insulation_type,True,LSZH 132kV 1C 1000 sqmm Cu XLPE armoured cable as per IEC 60840
RFP_0055,ITEM_0055,LSZH 1.1kV XLPE Copper 7C 6sqmm Armoured Control Cable,Control Cable,1.1kV,Copper,7.0,6.0,XLPE,LSZH,90C,LSZH,No,BS 5308,fire_resistance;insulation_type;sheath_type,False,LSZH 1.1kV 7C 6 sqmm Cu XLPE armoured cable as per BS 5308
RFP_0056,ITEM_0056,FR 500V XLPE Copper 2C 500sqmm Armoured Power Cable,Power Cable,500V,Copper,2.0,500.0,XLPE,LSZH,90C,FR,Yes,IS 1554,armouring;insulation_type;standards_required;voltage_rating,True,FR 500V 2C 500 sqmm Cu XLPE armoured cable as per IS 1554
RFP_0057,ITEM_0057,FRLS 6.6kV XLPE Copper 1C 400sqmm Armoured Power Cable,Power Cable,6.6kV,Copper,1.0,400.0,XLPE,PVC,90C,FRLS,Yes,IEC 60502-1,conductor_material;fire_resistance;size_sqmm,True,FRLS 6.6kV 1C 400 sqmm Cu XLPE armoured cable as per IEC 60502-1
RFP_0058,ITEM_0058,LSZH 500V XLPE Copper 4C 2.5sqmm Armoured Control Cable,Control Cable,500V,Copper,4.0,2.5,XLPE,LSZH,90C,LSZH,Yes,IEC 60502-1,conductor_material,False,LSZH 500V 4C 2.5 sqmm Cu XLPE armoured cable as per IEC 60502-1
RFP_0059,ITEM_0059,LSZH 440V PVC Copper 24C 1.5sqmm Armoured Control Cable,Control Cable,440V,Copper,24.0,1.5,PVC,PVC,70C,LSZH,No,IS 1554,armouring;conductor_material,False,LSZH 440V 24C 1.5 sqmm Cu PVC armoured cable as per IS 1554
RFP_0060,ITEM_0060,300V XLPE Copper 16C 1.5sqmm Armoured Instrumentation Cable,Instrumentation Cable,300V,Copper,16.0,1.5,XLPE,LSZH,90C,Non-FR,Yes,BS 5308-1,standards_required,False,300V 16C 1.5 sqmm Cu XLPE armoured cable as per BS 5308-1
RFP_0061,ITEM_0061,FR 220kV XLPE Aluminium 1C 240sqmm Armoured Power Cable,Power Cable,220kV,Aluminium,1.0,240.0,XLPE,HDPE,90C,FR,Yes,IEC 62067,size_sqmm,True,FR 220kV 1C 240 sqmm Al XLPE armoured cable as per IEC 62067
RFP_0062,ITEM_0062,LSZH 440V XLPE Copper 5C 1sqmm Armoured Control Cable,Control Cable,440V,Copper,5.0,1.0,XLPE,HDPE,90C,LSZH,No,IS 694,conductor_material;core_count;insulation_type;temperature_rating,False,LSZH 440V 5C 1 sqmm Cu XLPE armoured cable as per IS 694
RFP_0063,ITEM_0063,FR 1.1kV XLPE Copper 5C 6sqmm Armoured Control Cable,Control Cable,1.1kV,Copper,5.0,6.0,XLPE,LSZH,90C,FR,No,IS 1554,conductor_material;voltage_rating,True,FR 1.1kV 5C 6 sqmm Cu XLPE armoured cable as per IS 1554
RFP_0064,ITEM_0064,300V PVC Copper 16C 0.5sqmm Armoured Instrumentation Cable,Instrumentation Cable,300V,Copper,16.0,0.5,PVC,LSZH,70C,Non-FR,Yes,BS 5308-1,conductor_material;core_count;fire_resistance;voltage_rating,False,300V 16C 0.5 sqmm Cu PVC armoured cable as per BS 5308-1
RFP_0065,ITEM_0065,FR 3.3kV XLPE Copper 3C 50sqmm Armoured Power Cable,Power Cable,3.3kV,Copper,3.0,50.0,XLPE,HDPE,90C,FR,Yes,IS 7098-1,insulation_type;sheath_type;size_sqmm;temperature_rating,False,FR 3.3kV 3C 50 sqmm Cu XLPE armoured cable as per IS 7098-1
RFP_0066,ITEM_0066,Fire Survival 440V XLPE Copper 3C 16sqmm Armoured Fire Survival Cable,Fire Survival Cable,440V,Copper,3.0,16.0,XLPE,LSZH,90C,Fire Survival,Yes,BS 6387,fire_resistance;insulation_type;temperature_rating,False,Fire Survival 440V 3C 16 sqmm Cu XLPE armoured cable as per BS 6387
RFP_0067,ITEM_0067,Fire Survival 1.1kV XLPE Copper 3C 16sqmm Armoured Fire Survival Cable,Fire Survival Cable,1.1kV,Copper,3.0,16.0,XLPE,LSZH,90C,Fire Survival,No,IEC 60331,armouring;core_count;fire_resistance;voltage_rating,True,Fire Survival 1.1kV 3C 16 sqmm Cu XLPE armoured cable as per IEC 60331
RFP_0068,ITEM_0068,6.6kV EPR Copper 3C 120sqmm Armoured Power Cable,Power Cable,6.6kV,Copper,3.0,120.0,EPR,HDPE,90C,Non-FR,Yes,IEC 60502-1,conductor_material;core_count;sheath_type;voltage_rating,True,6.6kV 3C 120 sqmm Cu EPR armoured cable as per IEC 60502-1
RFP_0069,ITEM_0069,FR 440V PVC Copper 3.5C 6sqmm Armoured Power Cable,Power Cable,440V,Copper,3.5,6.0,PVC,HDPE,70C,FR,Yes,IS 694,armouring;insulation_type;temperature_rating,False,FR 440V 3.5C 6 sqmm Cu PVC armoured cable as per IS 694
RFP_0070,ITEM_0070,Fire Survival 1.1kV XLPE Copper 4C 4sqmm Armoured Fire Survival Cable,Fire Survival Cable,1.1kV,Copper,4.0,4.0,XLPE,LSZH,90C,Fire Survival,Yes,IS 17048,insulation_type,False,Fire Survival 1.1kV 4C 4 sqmm Cu XLPE armoured cable as per IS 17048
RFP_0071,ITEM_0071,FR 220kV XLPE Aluminium 1C 500sqmm Armoured Power Cable,Power Cable,220kV,Aluminium,1.0,500.0,XLPE,LSZH,90C,FR,No,IEC 62067,core_count;sheath_type;standards_required;temperature_rating,False,FR 220kV 1C 500 sqmm Al XLPE armoured cable as per IEC 62067
RFP_0072,ITEM_0072,FRLS 1.1kV XLPE Copper 4C 2.5sqmm Armoured Flexible Cable,Flexible Cable,1.1kV,Copper,4.0,2.5,XLPE,LSZH,90C,FRLS,No,IEC 60502-1,core_count;size_sqmm;standards_required;temperature_rating,True,FRLS 1.1kV 4C 2.5 sqmm Cu XLPE armoured cable as per IEC 60502-1
RFP_0073,ITEM_0073,FRLS 66kV XLPE Aluminium 1C 240sqmm Armoured Power Cable,Power Cable,66kV,Aluminium,1.0,240.0,XLPE,HDPE,90C,FRLS,No,IEC 60840,conductor_material;fire_resistance;size_sqmm;temperature_rating,False,FRLS 66kV 1C 240 sqmm Al XLPE armoured cable as per IEC 60840
RFP_0074,ITEM_0074,LSZH 132kV XLPE Aluminium 1C 800sqmm Armoured Power Cable,Power Cable,132kV,Aluminium,1.0,800.0,XLPE,HDPE,90C,LSZH,Yes,IEC 60840,core_count,False,LSZH 132kV 1C 800 sqmm Al XLPE armoured cable as per IEC 60840
RFP_0075,ITEM_0075,500V XLPE Copper 2C 1.5sqmm Armoured Instrumentation Cable,Instrumentation Cable,500V,Copper,2.0,1.5,XLPE,PVC,90C,Non-FR,Yes,IEC 60502-1,sheath_type;standards_required;voltage_rating,True,500V 2C 1.5 sqmm Cu XLPE armoured cable as per IEC 60502-1
RFP_0076,ITEM_0076,FR 6.6kV EPR Copper 3C 400sqmm Armoured Power Cable,Power Cable,6.6kV,Copper,3.0,400.0,EPR,PVC,90C,FR,Yes,IS 7098-1,standards_required,False,FR 6.6kV 3C 400 sqmm Cu EPR armoured cable as per IS 7098-1
RFP_0077,ITEM_0077,LSZH 1.1kV PVC Copper 6C 0.75sqmm Armoured Instrumentation Cable,Instrumentation Cable,1.1kV,Copper,6.0,0.75,PVC,LSZH,70C,LSZH,No,BS 5308-1,fire_resistance;insulation_type;voltage_rating,False,LSZH 1.1kV 6C 0.75 sqmm Cu PVC armoured cable as per BS 5308-1
RFP_0078,ITEM_0078,1.1kV XLPE Copper 6C 6sqmm Armoured Control Cable,Control Cable,1.1kV,Copper,6.0,6.0,XLPE,HDPE,90C,Non-FR,No,IEC 60502-1,core_count;fire_resistance;insulation_type,False,1.1kV 6C 6 sqmm Cu XLPE armoured cable as per IEC 60502-1
RFP_0079,ITEM_0079,ZH 440V PVC Copper 3C 35sqmm Armoured Flexible Cable,Flexible Cable,440V,Copper,3.0,35.0,PVC,LSZH,70C,ZH,No,IS 9968,insulation_type;temperature_rating;voltage_rating,True,ZH 440V 3C 35 sqmm Cu PVC armoured cable as per IS 9968
RFP_0080,ITEM_0080,LSZH 440V PVC Copper 24C 2.5sqmm Armoured Control Cable,Control Cable,440V,Copper,24.0,2.5,PVC,PVC,70C,LSZH,Yes,IS 694,insulation_type;standards_required,False,LSZH 440V 24C 2.5 sqmm Cu PVC armoured cable as per IS 694
RFP_0081,ITEM_0081,FRLS 300V XLPE Copper 8C 0.5sqmm Armoured Instrumentation Cable,Instrumentation Cable,300V,Copper,8.0,0.5,XLPE,HDPE,90C,FRLS,No,IEC 60502-1,conductor_material;insulation_type;size_sqmm,False,FRLS 300V 8C 0.5 sqmm Cu XLPE armoured cable as per IEC 60502-1
RFP_0082,ITEM_0082,FR 1.1kV XLPE Copper 10C 2.5sqmm Armoured Instrumentation Cable,Instrumentation Cable,1.1kV,Copper,10.0,2.5,XLPE,LSZH,90C,FR,Yes,IEC 60502-1,conductor_material;core_count;insulation_type;sheath_type,True,FR 1.1kV 10C 2.5 sqmm Cu XLPE armoured cable as per IEC 60502-1
RFP_0083,ITEM_0083,LSZH 1.1kV EPR Aluminium 3C 500sqmm Armoured Power Cable,Power Cable,1.1kV,Aluminium,3.0,500.0,EPR,PVC,90C,LSZH,Yes,BS 5467,armouring;conductor_material;fire_resistance,False,LSZH 1.1kV 3C 500 sqmm Al EPR armoured cable as per BS 5467
RFP_0084,ITEM_0084,300V PVC Copper 2C 1sqmm Armoured Instrumentation Cable,Instrumentation Cable,300V,Copper,2.0,1.0,PVC,PVC,70C,Non-FR,No,BS 5308-1,conductor_material;core_count;standards_required,False,300V 2C 1 sqmm Cu PVC armoured cable as per BS 5308-1
RFP_0085,ITEM_0085,FRLS 1.1kV PVC Copper 2C 1sqmm Armoured Flexible Cable,Flexible Cable,1.1kV,Copper,2.0,1.0,PVC,PVC,70C,FRLS,No,IEC 60502-1,armouring;conductor_material;fire_resistance,True,FRLS 1.1kV 2C 1 sqmm Cu PVC armoured cable as per IEC 60502-1
RFP_0086,ITEM_0086,LSZH 440V XLPE Copper 5C 6sqmm Armoured Flexible Cable,Flexible Cable,440V,Copper,5.0,6.0,XLPE,PVC,90C,LSZH,No,IS 9968,conductor_material;fire_resistance;size_sqmm;temperature_rating,True,LSZH 440V 5C 6 sqmm Cu XLPE armoured cable as per IS 9968
RFP_0087,ITEM_0087,LSZH 1.1kV PVC Copper 10C 0.75sqmm Armoured Instrumentation Cable,Instrumentation Cable,1.1kV,Copper,10.0,0.75,PVC,HDPE,70C,LSZH,Yes,IS 1554,insulation_type;temperature_rating;voltage_rating,True,LSZH 1.1kV 10C 0.75 sqmm Cu PVC armoured cable as per IS 1554
RFP_0088,ITEM_0088,Fire Survival 440V Mineral (MI) Copper 1C 95sqmm Armoured Fire Survival Cable,Fire Survival Cable,440V,Copper,1.0,95.0,Mineral (MI),HDPE,105C,Fire Survival,Yes,IEC 60331,core_count;size_sqmm,True,Fire Survival 440V 1C 95 sqmm Cu Mineral (MI) armoured cable as per IEC 60331
